timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
827.3,0,78.0051,191,14.0967,-24.359084852534846,-32.42911817394937,-33.76
827.333333,4,77.4887,191,13.5746,-24.91148001241902,-33.779046298036356,-33.90299857000033
827.366667,4,77.4738,191,0.107146,-26.26555576047439,-35.22511140208008,-34.04600143000016
827.4,4,77.3674,189,15.2207,-27.415072515354762,-36.644882108518956,-34.189
827.433333,0,77.7899,183,15.2744,-27.492578129837646,-35.538706805101064,-34.060667950000145
827.466667,0,77.7956,184,15.0025,-23.80403682801284,-33.03571909276703,-33.93233204999986
827.5,0,77.2796,185,15.435,-23.05891213518823,-32.862762276424846,-33.804
827.533333,0,77.2633,185,0.0515256,-22.259229028453916,-32.460572692119726,-33.7170008700001
827.566667,0,77.1711,185,14.6429,-24.169226971734766,-32.822250148410134,-33.6299991299999
827.6,0,76.6788,184,15.9626,-24.35123946655337,-33.0888681480318,-33.543
827.633333,0,75.9494,187,16.1358,-25.015948541553392,-33.19869045703627,-33.58166627999996
827.666667,0,74.9775,185,15.7031,-22.354135521468397,-32.090934698136735,-33.62033371999991
827.7,0,74.9635,185,0.0556977,-23.385456970191694,-33.33922588496841,-33.659
827.733333,0,73.9523,185,16.0352,-24.720782,-33.858033,-33.72866597
827.766667,0,72.9319,189,15.6553,-24.752152265924135,-34.56489714751792,-33.79833403
827.8,0,71.2926,184,15.073,-25.226243774865026,-34.887898865000864,-33.868
827.833333,0,70.1936,186,14.0687,-25.48304022045591,-35.67108918103265,-33.9956653900003
827.866667,3,69.3318,186,12.9803,-24.682449374253217,-35.68993580341693,-34.12333461000014
827.9,3,69.3136,186,0.0870757,-25.53475684039092,-35.25322309539353,-34.251
827.933333,0,68.5704,185,12.6105,-25.081017977785237,-33.730321078187664,-34.45033133999978
827.966667,0,67.9983,186,12.5549,-25.420196969064726,-33.474659237426074,-34.649668660000216
828.0,0,68.319,186,11.9846,-24.2208975,-33.890741000000006,-34.849
828.033333,0,79.536,198,32.283,-29.619541348713597,-38.04024946970296,-35.091330909999726
828.066667,0,79.5413,200,0.338103,-26.84224924532855,-34.67807852366611,-35.33366909000027
828.1,0,79.4777,203,2.05399,-28.186272740683123,-35.8944457002304,-35.576
828.133333,0,79.4887,198,0.988446,-29.83296625198501,-37.78054725245733,-35.553666890000024
